session,max(mfcccoeff0(mfcc)),max(mfcccoeff1(mfcc)),max(mfcccoeff2(mfcc)),max(mfcccoeff3(mfcc)),max(mfcccoeff4(mfcc)),max(mfcccoeff5(mfcc)),max(mfcccoeff6(mfcc)),max(mfcccoeff7(mfcc)),max(mfcccoeff8(mfcc)),max(mfcccoeff9(mfcc)),max(mfcccoeff10(mfcc)),max(mfcccoeff11(mfcc)),mean(mfcccoeff0(mfcc)),mean(mfcccoeff1(mfcc)),mean(mfcccoeff2(mfcc)),mean(mfcccoeff3(mfcc)),mean(mfcccoeff4(mfcc)),mean(mfcccoeff5(mfcc)),mean(mfcccoeff6(mfcc)),mean(mfcccoeff7(mfcc)),mean(mfcccoeff8(mfcc)),mean(mfcccoeff9(mfcc)),mean(mfcccoeff10(mfcc)),mean(mfcccoeff11(mfcc)),var(mfcccoeff0(mfcc)),var(mfcccoeff1(mfcc)),var(mfcccoeff2(mfcc)),var(mfcccoeff3(mfcc)),var(mfcccoeff4(mfcc)),var(mfcccoeff5(mfcc)),var(mfcccoeff6(mfcc)),var(mfcccoeff7(mfcc)),var(mfcccoeff8(mfcc)),var(mfcccoeff9(mfcc)),var(mfcccoeff10(mfcc)),var(mfcccoeff11(mfcc))
Ses01F_impro01_F000,4.85297107697,2.40496301651,1.01522839069,1.91276907921,0.439859867096,0.387321412563,0.158834069967,0.212306424975,0.0871800780296,0.324180185795,-0.0148352831602,0.181778252125,3.7548058033,2.02037978172,0.52459448576,1.25353443623,0.0574962384999,0.319884866476,0.0639407858253,0.0920694470406,-0.0625541359186,0.106121234596,-0.0749010294676,0.0632394552231,0.807580649853,0.119144588709,0.217284724116,0.330078810453,0.0756575986743,0.00453654676676,0.0147502524778,0.00808113440871,0.0115210302174,0.0389015525579,0.00187571288552,0.0146770616993
Ses01F_impro01_F001,7.26640176773,3.7539036274,-1.32836425304,1.1953523159,-0.0125351399183,-0.0506246984005,-0.594865143299,0.413735508919,0.248947247863,0.030091561377,-0.285749495029,-0.0819017440081,6.22444343567,3.59262275696,-1.34452950954,0.846822500229,-0.101742379367,-0.0811098664999,-0.735985815525,0.363103747368,0.135418877006,0.0130193568766,-0.305446147919,-0.0934140384197,1.08567762375,0.026011519134,0.000261315522948,0.121473014355,0.00795793160796,0.000929345493205,0.0199150443077,0.00256357528269,0.0128886913881,0.00029146016459,0.000387957552448,0.00013253292127
Ses01F_impro01_F002,7.34438705444,4.46054697037,0.261235356331,0.857070147991,0.931673109531,0.720006942749,0.203169226646,0.158179327846,0.112079106271,0.386961579323,0.331688046455,0.357237607241,2.9905397892,3.07568335533,-0.0972929224372,0.403590351343,-0.142025068402,0.387373179197,-0.134377107024,-0.0319967754185,-0.0739102736115,0.115819729865,0.0272252652794,0.138193145394,5.17615318298,0.85291403532,0.121287487447,0.0834124460816,0.259710937738,0.0508413203061,0.085655272007,0.0418491512537,0.0201130416244,0.022963359952,0.0559876263142,0.0157738700509
Ses01F_impro01_F005,10.7229623795,4.1201748848,0.774048686028,1.25647294521,0.0368479266763,0.957003593445,0.126728355885,0.0500709488988,0.0618587136269,0.331914544106,0.0481334850192,0.410788744688,7.93568754196,3.01548361778,0.0350961834192,0.424865424633,-0.293633580208,0.458176404238,-0.30368116498,-0.209627866745,-0.226086437702,0.106033183634,-0.119473107159,0.120895169675,9.25250434875,0.440815120935,0.257656216621,0.177062004805,0.124877370894,0.177916631103,0.0438732467592,0.0554609969258,0.0331993214786,0.0276481676847,0.0132453497499,0.0355594083667
Ses01F_impro01_F012,13.0276508331,4.06709384918,1.23039507866,0.520478188992,-0.013500392437,0.297353029251,0.116328313947,0.282519876957,0.137095570564,0.322951972485,0.0428404286504,0.318627238274,6.92545223236,2.82016253471,-0.24772298336,0.387318313122,-0.352245718241,-0.0336555615067,-0.228345200419,0.096472799778,-0.0696767345071,0.071523450315,-0.106706656516,-0.0811116844416,21.246515274,0.605513393879,0.894557595253,0.0101217012852,0.107611358166,0.0826983675361,0.0585790872574,0.0100407693535,0.0318589955568,0.0191908869892,0.0131268594414,0.0613520815969
Ses01F_impro01_F014,10.7943763733,3.59289479256,-0.000257268548012,1.64962863922,0.744111597538,0.344545334578,0.106421522796,0.426245510578,0.337379157543,0.300904035568,0.354681164026,0.32919305563,7.77210378647,2.80122041702,-0.690724313259,1.02180099487,0.216987162828,0.225054740906,-0.55715316534,0.051556289196,-0.106863223016,0.0685111135244,0.10730946064,0.0025477707386,7.96384048462,0.184603095055,0.145288974047,0.301073163748,0.0797046273947,0.00613942788914,0.137673154473,0.0554242730141,0.0912975519896,0.0364637002349,0.039074882865,0.0255589820445
Ses01F_impro01_M011,13.4283485413,3.84044551849,1.40734541416,1.96968829632,1.06233012676,0.627137482166,0.287346303463,0.607816457748,0.248691082001,0.17149874568,0.529971122742,0.547164082527,8.58063793182,2.66791319847,0.0993452519178,0.804785311222,0.00091936334502,0.246595665812,-0.0447157546878,0.12711687386,-0.162416189909,-0.247287988663,0.144457951188,0.155851885676,8.75121116638,0.960431098938,0.359051913023,0.454274117947,0.237880468369,0.0350532121956,0.0591125488281,0.0538963414729,0.0452736355364,0.0560833178461,0.0238641761243,0.0367155075073
Ses01F_impro01_M013,15.8962144852,3.67528629303,0.196240663528,1.28026378155,0.246622771025,0.352058440447,0.291073143482,0.297280371189,0.306684464216,0.16327996552,0.624785900116,0.5042719841,11.5827407837,2.78430819511,-0.781808316708,0.294834196568,-0.271525114775,0.125153690577,-0.163221329451,-0.185137331486,-0.0800864696503,-0.0441515333951,0.175743624568,0.212925478816,13.6279115677,0.475702852011,0.273197412491,0.169666483998,0.117875523865,0.0413032323122,0.0480122566223,0.0584482736886,0.0631218478084,0.0215787291527,0.0404824987054,0.0321095883846
Ses01F_impro02_F000,4.91611480713,3.7202334404,1.05180120468,1.13133955002,0.461725652218,0.286359012127,-0.0572476498783,0.685611963272,0.465749651194,0.24469435215,0.0897207409143,0.264522135258,1.6492087841,3.08580064774,0.215597420931,0.530396223068,0.0955525785685,0.146150156856,-0.233200728893,0.179294154048,-0.00961470603943,0.119038969278,-0.021787116304,0.0975812226534,1.75369739532,0.151767641306,0.0984893813729,0.0794957876205,0.0268717128783,0.02007233724,0.0219396352768,0.0346129052341,0.0420284420252,0.0047309640795,0.0028636183124,0.00574071612209
Ses01F_impro02_F001,2.64762759209,3.58010077477,0.343429505825,0.87512332201,-0.00337699055672,0.23576143384,-0.0689092278481,0.451648056507,0.408612012863,0.131118610501,0.152203962207,0.193333745003,1.24510788918,3.16875529289,0.191149279475,0.533590734005,-0.0576517209411,0.0603083893657,-0.163640424609,0.219230607152,-0.0234516151249,0.0875357538462,0.0610636249185,0.124318480492,0.754899024963,0.0941835492849,0.022980351001,0.0329203046858,0.00296733574942,0.038667678833,0.00652192020789,0.0203308872879,0.0468553081155,0.00058150960831,0.00280036358163,0.00146095710807
