session,meanZeroCrossing
Ses01F_impro01_F000,0.10887871413934426
Ses01F_impro01_F001,0.08649236505681818
Ses01F_impro01_F002,0.09234992825255102
Ses01F_impro01_F003,0.09227476728723404
Ses01F_impro01_F004,0.07516793224299065
Ses01F_impro01_F005,0.09324621775793651
Ses01F_impro01_F006,0.08654700969827586
Ses01F_impro01_F007,0.10400668057528409
Ses01F_impro01_F008,0.09810965401785714
Ses01F_impro01_F009,0.11446220930232558
Ses01F_impro01_F010,0.11711850373641304
Ses01F_impro01_F011,0.10715944370928339
Ses01F_impro01_F012,0.11217410065406977
Ses01F_impro01_F013,0.1142578125
Ses01F_impro01_F014,0.09928385416666667
Ses01F_impro01_F015,0.13024618459302326
Ses01F_impro01_M000,0.14859310611263737
Ses01F_impro01_M001,0.10371594551282051
Ses01F_impro01_M002,0.09020861950549451
Ses01F_impro01_M003,0.08024202360139861
Ses01F_impro01_M004,0.10332909058988764
Ses01F_impro01_M005,0.11062646099901575
Ses01F_impro01_M006,0.10360243055555556
Ses01F_impro01_M007,0.10364833733974359
Ses01F_impro01_M008,0.09653108016304347
Ses01F_impro01_M009,0.11557097739361702
Ses01F_impro01_M010,0.1025425753147482
Ses01F_impro01_M011,0.13178646406938327
Ses01F_impro01_M012,0.09229612886235955
Ses01F_impro01_M013,0.13206070188492064
Ses01F_impro02_F000,0.0673560573630137
Ses01F_impro02_F001,0.05391261888586957
Ses01F_impro02_F002,0.056662447625698324
Ses01F_impro02_F003,0.0625248278601695
Ses01F_impro02_F004,0.06217897531077348
Ses01F_impro02_F005,0.06568889853395062
Ses01F_impro02_F006,0.05959620620265151
Ses01F_impro02_F007,0.09280364046391752
Ses01F_impro02_F008,0.1076900294569672
Ses01F_impro02_F009,0.07137522977941177
Ses01F_impro02_F010,0.0833235432330827
Ses01F_impro02_F011,0.06065383184523809
Ses01F_impro02_F012,0.05658922697368421
Ses01F_impro02_F013,0.06873067220052083
Ses01F_impro02_F014,0.0915906182650862
Ses01F_impro02_F015,0.07133659430309734
Ses01F_impro02_F016,0.09124490489130435
Ses01F_impro02_F017,0.10604154146634616
Ses01F_impro02_F018,0.07347615559895833
Ses01F_impro02_F019,0.0721282958984375
Ses01F_impro02_F020,0.08325539172535211
Ses01F_impro02_M000,0.10365953947368421
Ses01F_impro02_M001,0.08394681490384616
Ses01F_impro02_M002,0.09520733173076923
Ses01F_impro02_M003,0.08374882223618091
Ses01F_impro02_M004,0.08123309795673077
Ses01F_impro02_M005,0.07864478326612903
Ses01F_impro02_M006,0.10299150659403669
Ses01F_impro02_M007,0.12342936197916667
Ses01F_impro02_M008,0.07867799322289157
Ses01F_impro02_M009,0.09731233016304348
Ses01F_impro02_M010,0.07052334872159091
Ses01F_impro02_M011,0.0769308864480198
Ses01F_impro02_M012,0.08501076211734694
Ses01F_impro02_M013,0.07444639463682433
Ses01F_impro02_M014,0.07428609913793104
Ses01F_impro02_M015,0.08553466796875
Ses01F_impro02_M016,0.05866451539855073
Ses01F_impro03_F000,0.0964626736111111
Ses01F_impro03_F001,0.14774124710648148
Ses01F_impro03_F002,0.1034131462191358
Ses01F_impro03_F003,0.1613348599137931
Ses01F_impro03_F004,0.11541644597457627
Ses01F_impro03_F005,0.11534288194444445
Ses01F_impro03_F006,0.07795324277638191
Ses01F_impro03_F007,0.10250418526785714
Ses01F_impro03_F008,0.09504627046130952
Ses01F_impro03_F009,0.09215856481481481
Ses01F_impro03_F010,0.09019183168316831
Ses01F_impro03_F011,0.08856110074626866
Ses01F_impro03_F012,0.08766682942708333
Ses01F_impro03_F013,0.13658833947981366
Ses01F_impro03_F014,0.09842936197916667
Ses01F_impro03_F015,0.09463778409090909
Ses01F_impro03_F016,0.08298527644230769
Ses01F_impro03_F017,0.0851531333111702
Ses01F_impro03_F018,0.07718028192934782
Ses01F_impro03_F019,0.05808376736111111
Ses01F_impro03_F020,0.09154163707386363
Ses01F_impro03_F021,0.08273083424707603
Ses01F_impro03_F022,0.06030617297535211
Ses01F_impro03_F023,0.057942708333333336
Ses01F_impro03_F024,0.09267436594202899
Ses01F_impro03_F025,0.10236439278455285
Ses01F_impro03_F026,0.12999709109042554
Ses01F_impro03_M000,0.12664620535714285
Ses01F_impro03_M001,0.0952899639423077
Ses01F_impro03_M002,0.11244553786057693
Ses01F_impro03_M003,0.12962109375
Ses01F_impro03_M004,0.10412446952160494
Ses01F_impro03_M005,0.09003255208333333
Ses01F_impro03_M006,0.07725201231060606
Ses01F_impro03_M007,0.11398280352011494
Ses01F_impro03_M008,0.08226376488095238
Ses01F_impro03_M009,0.07740209009740259
Ses01F_impro03_M010,0.08195992801966293
Ses01F_impro03_M011,0.07863709984756098
Ses01F_impro03_M012,0.10439294334349593
Ses01F_impro03_M013,0.10415371981534091
Ses01F_impro03_M014,0.09233700912610619
Ses01F_impro03_M015,0.07936339447463768
Ses01F_impro03_M016,0.09772478070175439
Ses01F_impro03_M017,0.08121744791666667
Ses01F_impro03_M018,0.06487630208333334
Ses01F_impro03_M019,0.10015299479166667
Ses01F_impro03_M020,0.07571390086206897
Ses01F_impro03_M021,0.08000255766369048
Ses01F_impro03_M022,0.09799429086538461
Ses01F_impro03_M023,0.10977067618534483
Ses01F_impro03_M024,0.10027204241071429
Ses01F_impro04_F000,0.08853105185688406
Ses01F_impro04_F001,0.08758987205615942
Ses01F_impro04_F002,0.08475801542207792
Ses01F_impro04_F003,0.06672252308238637
