session,Silence ratio
Ses01F_impro01_F000,0.5689549937357448
Ses01F_impro01_F001,0.8380577783805778
Ses01F_impro01_F002,0.833859116683971
Ses01F_impro01_F003,0.6714941569282137
Ses01F_impro01_F004,0.4646701325327671
Ses01F_impro01_F005,0.6332294235332434
Ses01F_impro01_F006,0.4680675675675676
Ses01F_impro01_F007,0.6530303030303031
Ses01F_impro01_F008,0.5125586854460094
Ses01F_impro01_F009,0.7228963414634146
Ses01F_impro01_F010,0.541673801369863
Ses01F_impro01_F011,0.5311608053007135
Ses01F_impro01_F012,0.7166136363636364
Ses01F_impro01_F013,0.6268809785750247
Ses01F_impro01_F014,0.5291296844181459
Ses01F_impro01_F015,0.3257527372262774
Ses01F_impro01_M000,0.6739776151528196
Ses01F_impro01_M001,0.5852239479711768
Ses01F_impro01_M002,0.5774785323965652
Ses01F_impro01_M003,0.50078125
Ses01F_impro01_M004,0.45741800914214703
Ses01F_impro01_M005,0.5244566890352768
Ses01F_impro01_M006,0.4194347826086956
Ses01F_impro01_M007,0.48321798094932844
Ses01F_impro01_M008,0.6952904661347241
Ses01F_impro01_M009,0.6640604138851802
Ses01F_impro01_M010,0.5046523740480582
Ses01F_impro01_M011,0.6933502533689
Ses01F_impro01_M012,0.5696934772490525
Ses01F_impro01_M013,0.482021994423657
Ses01F_impro02_F000,0.586320069123035
Ses01F_impro02_F001,0.2607935153583618
Ses01F_impro02_F002,0.6450270813313532
Ses01F_impro02_F003,0.6961189739053516
Ses01F_impro02_F004,0.6502128489260066
Ses01F_impro02_F005,0.64326171875
Ses01F_impro02_F006,0.6965005931198103
Ses01F_impro02_F007,0.5943972491909385
Ses01F_impro02_F008,0.47471417774847646
Ses01F_impro02_F009,0.45108256351039266
Ses01F_impro02_F010,0.4115441176470588
Ses01F_impro02_F011,0.6248594558129076
Ses01F_impro02_F012,0.5710072595281307
Ses01F_impro02_F013,0.8412154233881253
Ses01F_impro02_F014,0.5605912162162162
Ses01F_impro02_F015,0.6890743127896038
Ses01F_impro02_F016,0.47273038614115703
Ses01F_impro02_F017,0.6156894786765466
Ses01F_impro02_F018,0.4606557377049181
Ses01F_impro02_F019,0.4318896833503575
Ses01F_impro02_F020,0.3705073193614702
Ses01F_impro02_M000,0.3250588575440916
