session,max(max(cepstrum)),max(mean(cepstrum)),max(var(cepstrum)),mean(max(cepstrum)),mean(mean(cepstrum)),mean(var(cepstrum)),var(max(cepstrum)),var(mean(cepstrum)),var(var(cepstrum))
Ses01F_impro01_F000,23.6744127314,0.0178031303255,0.355580604169,19.8048136253,0.0144477317601,0.256623313428,3.25677906643,6.05304488998e-06,0.00208155276618
Ses01F_impro01_F001,26.097287568,0.0172640929195,0.43960019888,19.1102722564,0.0143343957514,0.24583497253,8.30851137576,3.5042969404e-06,0.00581213907247
Ses01F_impro01_F002,23.5352204665,0.0168847433002,0.356529713884,18.3233459555,0.0142677764536,0.226540349088,5.28381470973,4.93047116731e-06,0.00317759126767
Ses01F_impro01_F003,25.3502505274,0.0181348981158,0.412166767786,19.9962667823,0.0155425842714,0.266956951409,6.20883718408,2.30167199912e-06,0.00448263561358
Ses01F_impro01_F004,26.6004459427,0.019176029645,0.450447631146,21.3743042233,0.016658119347,0.305880346082,12.2278848972,1.80350338951e-06,0.00807542738878
Ses01F_impro01_F005,29.0820646695,0.019581010447,0.536468421827,22.9856789297,0.0160674512424,0.352188534239,15.981883542,5.8402889932e-06,0.0121431914508
Ses01F_impro01_F006,30.7265645676,0.0201540908791,0.60281828271,24.900277023,0.016789157952,0.407471159676,10.2119673572,4.57027798944e-06,0.00917564294514
Ses01F_impro01_F007,28.6048801944,0.0195486811635,0.535831133289,23.1794794795,0.0158560269116,0.356555034366,11.0415592481,5.03237838007e-06,0.00888551359386
Ses01F_impro01_F008,30.1597745759,0.0194315827122,0.581277406099,24.7741643226,0.01638141386,0.405860469386,13.4086102366,4.28502937127e-06,0.0121085747107
Ses01F_impro01_F009,28.6247820435,0.0186629019275,0.521544445042,21.6715240549,0.0149384065028,0.316650135808,15.7458481134,6.16908075793e-06,0.0119321507707
Ses01F_impro01_F010,31.2326700684,0.0207616898832,0.620372333343,25.2527333554,0.0165868111908,0.41732673941,9.711860207,5.83473213221e-06,0.00938931536945
Ses01F_impro01_F011,29.8318720807,0.0207236107569,0.568934740291,24.2151409496,0.0164425016505,0.389390510479,11.4892287294,5.66730717567e-06,0.00966212915925
Ses01F_impro01_F012,30.1769205421,0.0202752130803,0.584096014662,22.2296127591,0.0149364647482,0.33371259481,16.4780560279,5.21170310842e-06,0.0133584890268
Ses01F_impro01_F013,26.664112308,0.0198037664929,0.464880129234,21.9263408476,0.0160017755049,0.323682622994,11.7103901845,5.45599656001e-06,0.00864893613586
Ses01F_impro01_F014,27.201864277,0.0195002904338,0.472111016372,22.1353723175,0.0161366793856,0.32960987576,11.8493902505,4.47748225889e-06,0.00890686362172
Ses01F_impro01_F015,31.7562066687,0.0210328286984,0.648297538287,27.2529305709,0.0168977249122,0.482318497089,4.72877847961,4.94009900373e-06,0.00541496583521
Ses01F_impro01_M000,24.8715003121,0.0202262461495,0.394900361558,20.9569197757,0.015657525991,0.289760402886,3.43591956038,5.45364915259e-06,0.00236433756447
Ses01F_impro01_M001,23.2099209542,0.0177858355024,0.35722903788,19.030984301,0.0150650663368,0.241024241902,3.40335452568,3.64207190317e-06,0.00216258578878
Ses01F_impro01_M002,25.9400108238,0.0201988290252,0.430884081743,21.4601559591,0.0158462019933,0.305291195924,6.2203745861,7.2583044724e-06,0.00447549249591
Ses01F_impro01_M003,28.6608697606,0.0200309376333,0.525233290443,23.945877878,0.0160960389967,0.377538777001,10.8821018241,4.91508343224e-06,0.0086115151935
Ses01F_impro01_M004,27.9522207031,0.0209428591225,0.496586193544,24.2841852388,0.0175994057803,0.388209255883,11.1200784852,6.81285170062e-06,0.00900621149653
Ses01F_impro01_M005,29.8064404387,0.021370520776,0.562460018468,24.3556353855,0.0170009842061,0.389142595728,9.42672610246,5.99262813979e-06,0.00814544409752
Ses01F_impro01_M006,30.4448782352,0.0212084697459,0.58922171287,25.0623938983,0.0174265471294,0.410168128413,6.12270505019,7.1554642452e-06,0.00544261270174
Ses01F_impro01_M007,28.1222429932,0.0205586925491,0.513325260192,24.249662933,0.0169537121747,0.38918980511,8.59539829406,6.08874649671e-06,0.00685582579015
Ses01F_impro01_M008,29.6233131902,0.0216445671901,0.560701735027,22.370790475,0.0166258327803,0.336772293288,18.0302791757,6.09862099046e-06,0.0148726837724
Ses01F_impro01_M009,29.3493188737,0.0204627845474,0.547144460777,23.585946589,0.0165750338426,0.366774587815,9.14610179809,5.71214846485e-06,0.00743056831476
Ses01F_impro01_M010,27.9785805632,0.0205365540815,0.501912952748,24.2684986846,0.0165641636163,0.389067593603,9.85548912827,5.26713465455e-06,0.00775070403025
Ses01F_impro01_M011,31.6687077446,0.0196052508912,0.637343534994,23.8044274433,0.0165806614731,0.374625090222,12.1121460862,5.42536010271e-06,0.0101367936797
Ses01F_impro01_M012,24.7103869573,0.0196925001944,0.388484748049,19.8578108863,0.0161324769839,0.262418701054,4.3061266975,3.92118889938e-06,0.00273504579476
Ses01F_impro01_M013,33.5807262023,0.0247629556546,0.719288186548,26.4987507382,0.0175724495907,0.461935049187,14.1929100428,8.71298194967e-06,0.0151686325603
Ses01F_impro02_F000,22.0176737794,0.0189812394183,0.309977722851,17.7236777636,0.015222669365,0.20980333255,1.94485112805,5.36047211383e-06,0.00104779873528
Ses01F_impro02_F001,20.1407413511,0.0175573062061,0.262988297044,17.4032115178,0.0149953292657,0.202046521404,1.15048469011,4.54926671175e-06,0.000530470028103
Ses01F_impro02_F002,23.3721602361,0.0192227415438,0.348312836614,18.0701978667,0.0153710262124,0.218646171424,3.75026533635,4.1871878544e-06,0.00209360573154
Ses01F_impro02_F003,22.9493470398,0.018481623999,0.341077438688,18.3250256829,0.0147722613819,0.224635759769,4.35452433503,6.11755257308e-06,0.0024113113336
Ses01F_impro02_F004,23.1627738559,0.0189840450893,0.344836663406,17.8646875651,0.0147935357161,0.213984212964,2.71246278329,3.58854821185e-06,0.00150305448123
Ses01F_impro02_F005,22.6132019944,0.0182960639458,0.334785437001,17.8532200661,0.0148989718195,0.215667616794,4.5426425064,3.64837149274e-06,0.0025249568757
Ses01F_impro02_F006,25.6713566871,0.0181427761367,0.419628880992,19.0072243199,0.0148787236914,0.243405935027,7.82615995188,4.75724761021e-06,0.0047472046666
Ses01F_impro02_F007,27.9856574633,0.0187993985559,0.506001434411,21.8747194726,0.0158087410629,0.322151266974,13.1028945333,3.87483533586e-06,0.00957148151132
Ses01F_impro02_F008,23.5439990899,0.0180588540328,0.358893666365,19.0563821832,0.0153362777267,0.243216466506,5.49789356454,4.60752841745e-06,0.00310670359964
Ses01F_impro02_F009,22.9274083872,0.0171343337313,0.33772336309,18.3308830693,0.0143288379411,0.225054395707,3.91659049685,5.21863925463e-06,0.00209237197112
Ses01F_impro02_F010,23.2106733007,0.0175363933068,0.345146602682,18.1631387717,0.0146980575132,0.219945567989,4.09818267521,4.93871488676e-06,0.00232906626026
Ses01F_impro02_F011,23.0302530997,0.0176516133418,0.338993273079,17.9979797556,0.0145658441243,0.216219947613,3.68942911116,4.68222190565e-06,0.00195744448314
Ses01F_impro02_F012,20.489763209,0.0190043283957,0.276041755924,17.6413645087,0.0152980074047,0.20797440238,1.97404592176,4.239112883e-06,0.00105752062891
Ses01F_impro02_F013,24.0720316696,0.0187136434406,0.370199499992,17.9527520278,0.0142133147202,0.218357861647,6.4602982382,7.0321856292e-06,0.00390611835085
Ses01F_impro02_F014,24.6454336401,0.0184402144315,0.391065694673,18.9792425247,0.0148255111142,0.240838232881,5.414858342,5.02242844355e-06,0.00316820055562
Ses01F_impro02_F015,23.6477635109,0.0174549747348,0.364787928163,18.4448205163,0.0148434637804,0.227914521269,4.12599392233,3.15704042029e-06,0.00243136614876
