session,varZeroCrossing
Ses01F_impro01_F000,0.0028188071626387944
Ses01F_impro01_F001,0.0005641264363753895
Ses01F_impro01_F002,0.0025424842335988167
Ses01F_impro01_F003,0.0008840001832850653
Ses01F_impro01_F004,0.0011242074689049627
Ses01F_impro01_F005,0.0020448137332823033
Ses01F_impro01_F006,0.0012426722659225555
Ses01F_impro01_F007,0.0016045881866300405
Ses01F_impro01_F008,0.0012913986939151272
Ses01F_impro01_F009,0.002615901657497859
Ses01F_impro01_F010,0.0027603252116583698
Ses01F_impro01_F011,0.0012851431775312402
Ses01F_impro01_F012,0.002812315832285574
Ses01F_impro01_F013,0.0020802815755208335
Ses01F_impro01_F014,0.0019609123405920385
Ses01F_impro01_F015,0.0011069285927623462
Ses01F_impro01_M000,0.004959357330410712
Ses01F_impro01_M001,0.003169834731363451
Ses01F_impro01_M002,0.0015833749530425095
Ses01F_impro01_M003,0.0009464582165002627
Ses01F_impro01_M004,0.003864264250433726
Ses01F_impro01_M005,0.003539140292158262
Ses01F_impro01_M006,0.006317170873100375
Ses01F_impro01_M007,0.00287633626261955
Ses01F_impro01_M008,0.00442179599947049
Ses01F_impro01_M009,0.004873870609571836
Ses01F_impro01_M010,0.004062623416443961
Ses01F_impro01_M011,0.00763295575869086
Ses01F_impro01_M012,0.0010255908833626411
Ses01F_impro01_M013,0.0025702998150983845
Ses01F_impro02_F000,0.0011216901126689055
Ses01F_impro02_F001,0.00018346906835054854
Ses01F_impro02_F002,0.0006991173867514687
Ses01F_impro02_F003,0.0003633371751495423
Ses01F_impro02_F004,0.0004151417569309825
Ses01F_impro02_F005,0.0004035636903018309
Ses01F_impro02_F006,0.0001688881873865539
Ses01F_impro02_F007,0.0010771422751563835
Ses01F_impro02_F008,0.010528666474619915
Ses01F_impro02_F009,0.001761632394625654
Ses01F_impro02_F010,0.0024426510297758117
Ses01F_impro02_F011,0.00036974852858216863
Ses01F_impro02_F012,0.0005700837872365175
Ses01F_impro02_F013,0.0004762994487666422
Ses01F_impro02_F014,0.0037139187634487357
Ses01F_impro02_F015,0.0005156675887393526
Ses01F_impro02_F016,0.002203975297703109
Ses01F_impro02_F017,0.0038787123895961157
Ses01F_impro02_F018,0.0012643932261400754
Ses01F_impro02_F019,0.0011849140282720327
Ses01F_impro02_F020,0.0026340811906696146
Ses01F_impro02_M000,0.0024653528799971056
Ses01F_impro02_M001,0.0027831189227325876
Ses01F_impro02_M002,0.0038173785012149248
Ses01F_impro02_M003,0.0023295504225465053
Ses01F_impro02_M004,0.0008088261241743551
Ses01F_impro02_M005,0.0014735550339586654
Ses01F_impro02_M006,0.0023186215847873616
Ses01F_impro02_M007,0.014875543846024408
Ses01F_impro02_M008,0.00025535360063034287
Ses01F_impro02_M009,0.003912846830256269
Ses01F_impro02_M010,0.00036231024041977135
Ses01F_impro02_M011,0.00039088596328662055
Ses01F_impro02_M012,0.003196374850026208
Ses01F_impro02_M013,0.000594449737718107
