session,Average amplitude,Silence ratio
Ses01F_impro01_F000,196.07558867936646,0.5689549937357448
Ses01F_impro01_F001,219.2994710429947,0.8380577783805778
Ses01F_impro01_F002,191.327190320262,0.833859116683971
Ses01F_impro01_F003,347.4237479131886,0.6714941569282137
Ses01F_impro01_F004,751.9632789045911,0.4646701325327671
Ses01F_impro01_F005,1181.2080367251351,0.6332294235332434
Ses01F_impro01_F006,2034.2414324324325,0.4680675675675676
Ses01F_impro01_F007,1141.5101604278075,0.6530303030303031
Ses01F_impro01_F008,1663.9766431924882,0.5125586854460094
Ses01F_impro01_F009,701.9950762195122,0.7228963414634146
Ses01F_impro01_F010,2017.236686643836,0.541673801369863
Ses01F_impro01_F011,1551.1567915392457,0.5311608053007135
Ses01F_impro01_F012,1157.9552954545454,0.7166136363636364
Ses01F_impro01_F013,908.8413171977847,0.6268809785750247
Ses01F_impro01_F014,898.9084935897437,0.5291296844181459
Ses01F_impro01_F015,2789.391993613139,0.3257527372262774
Ses01F_impro01_M000,334.78146792940163,0.6739776151528196
Ses01F_impro01_M001,146.81587614732584,0.5852239479711768
Ses01F_impro01_M002,683.6482348859397,0.5774785323965652
Ses01F_impro01_M003,1348.927384868421,0.50078125
Ses01F_impro01_M004,1882.3404562197666,0.457418009142147
Ses01F_impro01_M005,1652.5068183217386,0.5244566890352768
Ses01F_impro01_M006,2067.9993804347832,0.4194347826086956
Ses01F_impro01_M007,1533.8301565520487,0.4832179809493285
Ses01F_impro01_M008,1319.1629983418131,0.6952904661347241
Ses01F_impro01_M009,1154.1607726969294,0.6640604138851802
Ses01F_impro01_M010,1587.4670673855205,0.5046523740480582
Ses01F_impro01_M011,1215.0075363219642,0.6933502533689
Ses01F_impro01_M012,212.1870830470533,0.5696934772490525
Ses01F_impro01_M013,3358.226505249847,0.48202199442365706
Ses01F_impro02_F000,122.50810789087669,0.586320069123035
Ses01F_impro02_F001,117.50825511945392,0.2607935153583618
Ses01F_impro02_F002,201.55782082641738,0.6450270813313532
Ses01F_impro02_F003,200.32796329057942,0.6961189739053516
Ses01F_impro02_F004,176.72098917882562,0.6502128489260066
Ses01F_impro02_F005,214.875048828125,0.64326171875
Ses01F_impro02_F006,299.7291221826809,0.6965005931198103
Ses01F_impro02_F007,745.2499797734627,0.5943972491909385
Ses01F_impro02_F008,173.4599527247584,0.4747141777484765
Ses01F_impro02_F009,157.10070727482682,0.4510825635103927
Ses01F_impro02_F010,120.80716176470587,0.4115441176470588
Ses01F_impro02_F011,182.64757139644703,0.6248594558129076
Ses01F_impro02_F012,193.10594373865695,0.5710072595281307
Ses01F_impro02_F013,222.15185650004588,0.8412154233881253
Ses01F_impro02_F014,229.1426942567568,0.5605912162162162
Ses01F_impro02_F015,184.5272967982441,0.6890743127896038
Ses01F_impro02_F016,141.87074402808295,0.472730386141157
Ses01F_impro02_F017,549.8475380121902,0.6156894786765466
Ses01F_impro02_F018,184.329262295082,0.4606557377049181
Ses01F_impro02_F019,156.6850663942799,0.4318896833503575
Ses01F_impro02_F020,163.7751762579506,0.3705073193614702
Ses01F_impro02_M000,150.10724464086573,0.3250588575440916
Ses01F_impro02_M001,226.4116657500566,0.4479635081362622
Ses01F_impro02_M002,172.2499223750238,0.6182053105499854
Ses01F_impro02_M003,289.7026790024928,0.3960174593321707
Ses01F_impro02_M004,214.9220877458396,0.469875189107413
Ses01F_impro02_M005,310.7669288753646,0.33063548782181595
Ses01F_impro02_M006,183.778688745409,0.4068732657441249
Ses01F_impro02_M007,112.5189379722254,0.27632631080794395
Ses01F_impro02_M008,92.06070598282489,0.2509607629169237
Ses01F_impro02_M009,122.95323349217155,0.3765656909462219
Ses01F_impro02_M010,110.32359171098044,0.24910014664276936
Ses01F_impro02_M011,81.80290766513325,0.18917292649313844
Ses01F_impro02_M012,234.73053244481244,0.4182369359383555
Ses01F_impro02_M013,187.2646009513742,0.5644556025369979
Ses01F_impro02_M014,188.72288732394367,0.34423076923076923
Ses01F_impro02_M015,238.6796,0.3187
Ses01F_impro02_M016,185.2293014367613,0.24817042961285296
Ses01F_impro03_F000,772.7773164335664,0.4583479020979021
Ses01F_impro03_F001,679.172296008285,0.5734660876832791
Ses01F_impro03_F002,1966.9840219849705,0.4276854981881855
Ses01F_impro03_F003,3335.046773254633,0.4778182408924148
Ses01F_impro03_F004,2863.874285051145,0.34242941693330464
Ses01F_impro03_F005,1690.7054423086233,0.5110153488597298
Ses01F_impro03_F006,909.234246845426,0.37007097791798105
Ses01F_impro03_F007,847.7453283128735,0.5936367072129449
Ses01F_impro03_F008,1099.7431647940075,0.4836610486891386
Ses01F_impro03_F009,1325.7930070958494,0.42964814882900093
Ses01F_impro03_F010,1096.3525809785683,0.4246377659470738
Ses01F_impro03_F011,832.1920044549958,0.4930390691403617
Ses01F_impro03_F012,1061.5675756995545,0.6909105828934052
Ses01F_impro03_F013,1202.4549275697802,0.5329012293034759
Ses01F_impro03_F014,1270.6468967770036,0.5390461672473867
Ses01F_impro03_F015,1540.2221068593833,0.4835995027254471
Ses01F_impro03_F016,664.7835500471998,0.4667925332683699
Ses01F_impro03_F017,480.87120704107286,0.5740989103101425
Ses01F_impro03_F018,479.11633875106935,0.6461719418306244
Ses01F_impro03_F019,200.62740437519255,0.34266472996170605
Ses01F_impro03_F020,574.1235563204856,0.5793287739480955
Ses01F_impro03_F021,872.8024267399268,0.4751717032967033
Ses01F_impro03_F022,296.3178501068287,0.4664668830988651
Ses01F_impro03_F023,171.5425476667409,0.1647006454484754
Ses01F_impro03_F024,588.6578222600795,0.5181147075525271
Ses01F_impro03_F025,1084.7827290076336,0.3153307888040713
Ses01F_impro03_F026,807.467683732152,0.5599891845797065
Ses01F_impro03_M000,400.7664067119007,0.7964469720431319
Ses01F_impro03_M001,579.4832367486878,0.542856275979247
Ses01F_impro03_M002,1513.6889539274923,0.6317409365558913
Ses01F_impro03_M003,2903.615886235072,0.5259270898805782
Ses01F_impro03_M004,1900.134541220985,0.394140047054258
Ses01F_impro03_M005,1218.4473101265826,0.4856803797468354
Ses01F_impro03_M006,710.4856459330142,0.4985047846889952
Ses01F_impro03_M007,729.7253570698698,0.4265991507527419
Ses01F_impro03_M008,720.4699086130972,0.4660258534968512
Ses01F_impro03_M009,813.6174134419553,0.40999236252545823
Ses01F_impro03_M010,768.9942374609367,0.4158780114807509
Ses01F_impro03_M011,1037.0061545801527,0.3837945292620865
Ses01F_impro03_M012,1020.8314655172412,0.4883301404853129
Ses01F_impro03_M013,3482.2676720285967,0.3950402144772118
Ses01F_impro03_M014,964.0799491280336,0.5033014512447952
Ses01F_impro03_M015,1047.991743119266,0.4176032110091743
Ses01F_impro03_M016,595.3761426592798,0.5725415512465374
Ses01F_impro03_M017,754.5329194001873,0.5641518275538895
Ses01F_impro03_M018,204.95778260869565,0.27399999999999997
Ses01F_impro03_M019,409.4660882045929,0.4044363256784969
Ses01F_impro03_M020,617.4644345238095,0.4654897186147186
Ses01F_impro03_M021,413.5261660447762,0.4962919776119403
Ses01F_impro03_M022,499.4669804216868,0.6614834337349398
Ses01F_impro03_M023,1021.4046138992868,0.7313470756618506
Ses01F_impro03_M024,383.6341676285932,0.5826459078239815
Ses01F_impro04_F000,612.1522641938788,0.669757651609967
Ses01F_impro04_F001,354.1186969722766,0.7165517437076132
Ses01F_impro04_F002,434.8642261423758,0.6198331986521719
Ses01F_impro04_F003,203.49825331422429,0.682618237190971
Ses01F_impro04_F004,193.03833575581402,0.3928415697674419
Ses01F_impro04_F005,119.97821181231032,0.5617980442507717
Ses01F_impro04_F006,882.9120624209195,0.5099290032335161
Ses01F_impro04_F007,1143.2587202380953,0.5459077380952381
Ses01F_impro04_F008,695.7075,0.6838461538461538
