,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Ses01F_script01_2_M017,0.0,0.0,9.0,4.0,8.0,5.0,0.0,0.0,4.0,7.0,2.0,0.0,1.0,1.0,2.0,9.0,0.20189067721366882,0.20916542410850525,0.15511879324913025,0.43382513523101807,0.0024346387945115566,0.002729973057284951,0.017906608060002327,0.04844752326607704,0.17445595562458038,0.18184271454811096,0.049485936760902405,0.21110911667346954,0.2408817708492279,0.2431805580854416,0.27330586314201355,0.621478796005249,0.2794608473777771,0.319114625453949,0.4276690185070038,0.6780492067337036,0.2794608473777771,0.319114625453949,0.4276690185070038,0.6780492067337036
Ses01F_script01_2_M004,1.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2508048415184021,0.26311150193214417,0.3088516294956207,0.1772320568561554,0.0008197309216484427,9.655225585447624e-05,0.0018697327468544245,0.004213191103190184,0.2230975329875946,0.2539244592189789,0.312787264585495,0.13310323655605316,0.277567982673645,0.2734777331352234,0.3250844180583954,0.19406580924987793,0.2887549102306366,0.2739618122577667,0.3610386252403259,0.2974088490009308,0.2887549102306366,0.2739618122577667,0.3610386252403259,0.2974088490009308
Ses01F_script01_2_F011,0.0,0.0,4.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,0.21519845724105835,0.21143759787082672,0.1801500767469406,0.3932138681411743,0.007200521882623434,0.006516898050904274,0.019387321546673775,0.0802869126200676,0.1348372958600521,0.14058292843401432,0.05053882207721472,0.14646199345588684,0.2825506180524826,0.2813439667224884,0.30704067274928093,0.6616748496890068,0.30440038442611694,0.29107341170310974,0.37258008122444153,0.788812518119812,0.30440038442611694,0.29107341170310974,0.37258008122444153,0.788812518119812
Ses01F_script01_2_F006,0.0,0.0,8.0,0.0,6.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0903019905090332,0.10219509899616241,0.027705932036042213,0.7797969579696655,0.0007744103204458952,0.0011750824050977826,0.00015633529983460903,0.004746205639094114,0.06992929242551327,0.07228332944214344,0.020351029001176357,0.7465695142745972,0.10623635165393353,0.12992284074425697,0.03037632117047906,0.834914356470108,0.14302566647529602,0.15825781226158142,0.05727409943938255,0.8626828193664551,0.14302566647529602,0.15825781226158142,0.05727409943938255,0.8626828193664551
Ses01F_script01_2_F013,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0694965273141861,0.09141218662261963,0.01763911545276642,0.821452260017395,0.002146160928532481,0.0029915706254541874,0.0004098198260180652,0.014277331531047821,0.04200923442840576,0.054480320774018764,0.00749420200008899,0.7943435162305832,0.07945809327065945,0.10913929715752602,0.02139021921902895,0.8970489203929901,0.23812901973724365,0.2741078734397888,0.09994817525148392,0.9521970152854919,0.23812901973724365,0.2741078734397888,0.09994817525148392,0.9521970152854919
Ses01F_script01_2_F004,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.30790600180625916,0.29701071977615356,0.2498694658279419,0.14521384239196777,2.6383617296232842e-05,0.000290448748273775,0.0009156932937912643,0.0002709507243707776,0.30436472594738007,0.28498825430870056,0.23666103929281235,0.1335839182138443,0.31037548184394836,0.30373866856098175,0.27105236053466797,0.15143510699272156,0.31498855352401733,0.3210556209087372,0.2762863039970398,0.16847370564937592,0.31498855352401733,0.3210556209087372,0.2762863039970398,0.16847370564937592
Ses01F_script01_2_F003,0.0,0.0,2.0,4.0,3.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,0.25890490412712097,0.27924931049346924,0.29596179723739624,0.16588395833969116,0.0014523915015161037,0.0007896579336374998,0.018772849813103676,0.005851155612617731,0.23133407533168793,0.25480564311146736,0.16888310760259628,0.09622784331440926,0.2795214578509331,0.302277572453022,0.42939503490924835,0.22917145490646362,0.32274049520492554,0.3061239719390869,0.470679372549057,0.2703721225261688,0.32274049520492554,0.3061239719390869,0.470679372549057,0.2703721225261688
Ses01F_script01_2_F009,0.0,0.0,7.0,11.0,6.0,2.0,6.0,4.0,9.0,5.0,2.0,2.0,3.0,11.0,3.0,1.0,0.27540823817253113,0.3000364899635315,0.23574143648147583,0.18881386518478394,0.0008490213076584041,0.0012281120289117098,0.009813010692596436,0.005909075494855642,0.25606900453567505,0.28344134986400604,0.172449491918087,0.14894217252731323,0.299152635037899,0.3213821053504944,0.27375785261392593,0.24572091549634933,0.314814031124115,0.37745049595832825,0.4753766357898712,0.3588349521160126,0.314814031124115,0.37745049595832825,0.4753766357898712,0.3588349521160126
Ses01F_script01_2_M001,0.0,0.0,0.0,10.0,3.0,6.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,9.0,0.0,0.26291054487228394,0.25932151079177856,0.352907657623291,0.12486030161380768,0.0011418478097766638,0.0010706952307373285,0.006462153047323227,0.000832947320304811,0.25137319415807724,0.2586989104747772,0.30389273911714554,0.10501734167337418,0.28230710327625275,0.2773718908429146,0.38425135612487793,0.13817286118865013,0.29368218779563904,0.2805083096027374,0.5536105036735535,0.18926307559013367,0.29368218779563904,0.2805083096027374,0.5536105036735535,0.18926307559013367
Ses01F_script01_2_F007,0.0,0.0,15.0,2.0,10.0,3.0,2.0,2.0,3.0,12.0,0.0,2.0,4.0,2.0,0.0,11.0,0.19110365211963654,0.20699715614318848,0.10806898027658463,0.49383023381233215,0.006906001828610897,0.005616775713860989,0.006647232919931412,0.05241840332746506,0.12522058188915253,0.15498210489749908,0.029559461399912834,0.28156420588493347,0.2785188853740692,0.2757624089717865,0.159734308719635,0.6729573607444763,0.31024008989334106,0.3167249262332916,0.26815974712371826,0.8560050129890442,0.31024008989334106,0.3167249262332916,0.26815974712371826,0.8560050129890442
