time,session,label
[5.3661 - 9.6150],Ses02F_impro01_F000,neu
[16.4840 - 19.7791],Ses02F_impro01_F001,sur
[23.3690 - 26.0214],Ses02F_impro01_F002,xxx
[30.7130 - 32.8369],Ses02F_impro01_F003,fru
[32.8981 - 37.8800],Ses02F_impro01_F004,fru
[38.0286 - 40.3056],Ses02F_impro01_F005,fru
[45.0441 - 50.0436],Ses02F_impro01_F006,fru
[50.0639 - 51.9832],Ses02F_impro01_F007,fru
[57.5135 - 66.6710],Ses02F_impro01_F008,fru
[66.6912 - 72.0669],Ses02F_impro01_F009,fru
[78.1061 - 87.7428],Ses02F_impro01_F010,fru
[88.3022 - 89.9978],Ses02F_impro01_F011,fru
[96.4709 - 99.7098],Ses02F_impro01_F012,fru
[99.8449 - 105.6836],Ses02F_impro01_F013,fru
[111.5773 - 119.8805],Ses02F_impro01_F014,fru
[124.1293 - 132.0469],Ses02F_impro01_F015,fru
[135.5643 - 145.6458],Ses02F_impro01_F016,fru
[145.7064 - 150.8614],Ses02F_impro01_F017,fru
[154.0504 - 159.7574],Ses02F_impro01_F018,ang
[164.6740 - 169.8898],Ses02F_impro01_F019,ang
[171.5438 - 175.7488],Ses02F_impro01_F020,ang
[180.6986 - 190.9121],Ses02F_impro01_F021,ang
[202.8414 - 205.0638],Ses02F_impro01_F022,fru
[209.2752 - 214.5392],Ses02F_impro01_F023,fru
[5.8186 - 7.2530],Ses02F_impro01_M000,neu
[9.8327 - 15.9334],Ses02F_impro01_M001,neu
[20.5395 - 23.2318],Ses02F_impro01_M002,neu
[25.7699 - 32.1839],Ses02F_impro01_M003,xxx
[38.1175 - 39.5783],Ses02F_impro01_M004,neu
[40.4471 - 45.0994],Ses02F_impro01_M005,fru
[50.0639 - 51.9630],Ses02F_impro01_M006,fru
[51.9832 - 57.8604],Ses02F_impro01_M007,fru
[70.1056 - 72.0855],Ses02F_impro01_M008,fru
[72.2875 - 79.2332],Ses02F_impro01_M009,fru
[87.4602 - 88.6522],Ses02F_impro01_M010,fru
[88.6926 - 97.7625],Ses02F_impro01_M011,fru
[100.0140 - 101.5823],Ses02F_impro01_M012,fru
[105.0169 - 111.4287],Ses02F_impro01_M013,fru
[119.6060 - 125.5354],Ses02F_impro01_M014,fru
[132.1517 - 135.6478],Ses02F_impro01_M015,fru
[141.9890 - 143.5245],Ses02F_impro01_M016,xxx
[150.5061 - 155.6030],Ses02F_impro01_M017,ang
[158.9194 - 164.5611],Ses02F_impro01_M018,fru
[164.5945 - 166.9199],Ses02F_impro01_M019,ang
[167.9301 - 173.4579],Ses02F_impro01_M020,fru
[175.6255 - 182.0081],Ses02F_impro01_M021,fru
[190.9820 - 195.9117],Ses02F_impro01_M022,fru
[195.9319 - 204.2806],Ses02F_impro01_M023,fru
[204.7828 - 208.4711],Ses02F_impro01_M024,fru
[8.9084 - 11.9078],Ses02F_impro02_F000,sad
[18.3682 - 24.3889],Ses02F_impro02_F001,sad
[30.6582 - 37.9405],Ses02F_impro02_F002,sad
[46.8146 - 49.4112],Ses02F_impro02_F003,sad
[63.2468 - 75.4222],Ses02F_impro02_F004,sad
[75.4413 - 78.5568],Ses02F_impro02_F005,sad
[88.0123 - 94.8416],Ses02F_impro02_F006,sad
[96.6544 - 108.6034],Ses02F_impro02_F007,sad
[114.9300 - 126.1305],Ses02F_impro02_F008,sad
