time,session,label
[6.2901 - 8.2357],Ses01F_impro01_F000,neu
[10.0100 - 11.3925],Ses01F_impro01_F001,neu
[14.8872 - 18.0175],Ses01F_impro01_F002,neu
[19.2900 - 20.7875],Ses01F_impro01_F003,xxx
[21.3257 - 24.7400],Ses01F_impro01_F004,xxx
[27.4600 - 31.4900],Ses01F_impro01_F005,neu
[38.9650 - 43.5900],Ses01F_impro01_F006,fru
[46.5800 - 52.1900],Ses01F_impro01_F007,fru
[56.1600 - 58.8225],Ses01F_impro01_F008,fru
[61.8700 - 65.9700],Ses01F_impro01_F009,fru
[66.4200 - 69.3400],Ses01F_impro01_F010,xxx
[72.4500 - 82.2600],Ses01F_impro01_F011,fru
[85.2700 - 88.0200],Ses01F_impro01_F012,ang
[93.6700 - 97.0218],Ses01F_impro01_F013,fru
[97.8900 - 102.9600],Ses01F_impro01_F014,neu
[103.9700 - 106.7100],Ses01F_impro01_F015,fru
[7.5712 - 10.4750],Ses01F_impro01_M000,fru
[10.9266 - 14.6649],Ses01F_impro01_M001,fru
[16.8352 - 19.7175],Ses01F_impro01_M002,fru
[23.4700 - 28.0300],Ses01F_impro01_M003,fru
[28.3950 - 31.2117],Ses01F_impro01_M004,fru
[31.2660 - 39.3875],Ses01F_impro01_M005,fru
[41.2300 - 46.9800],Ses01F_impro01_M006,fru
[51.4000 - 57.6400],Ses01F_impro01_M007,fru
[58.1800 - 62.5900],Ses01F_impro01_M008,fru
[65.5100 - 73.0000],Ses01F_impro01_M009,fru
[81.5900 - 86.0300],Ses01F_impro01_M010,fru
[87.1500 - 94.3900],Ses01F_impro01_M011,ang
[95.8600 - 98.6800],Ses01F_impro01_M012,xxx
[101.8400 - 107.8700],Ses01F_impro01_M013,ang
[7.2688 - 16.6000],Ses01F_impro02_F000,sad
[19.8500 - 22.7800],Ses01F_impro02_F001,sad
[26.5659 - 32.2895],Ses01F_impro02_F002,sad
[32.3075 - 37.9600],Ses01F_impro02_F003,neu
[47.3400 - 53.1100],Ses01F_impro02_F004,sad
[58.7500 - 61.3100],Ses01F_impro02_F005,sad
[64.2550 - 68.4700],Ses01F_impro02_F006,neu
[72.3900 - 78.5700],Ses01F_impro02_F007,xxx
[87.2031 - 91.0900],Ses01F_impro02_F008,sad
[91.5500 - 95.8800],Ses01F_impro02_F009,xxx
[97.9400 - 102.1900],Ses01F_impro02_F010,sad
[107.6800 - 111.0153],Ses01F_impro02_F011,xxx
[117.8300 - 120.8605],Ses01F_impro02_F012,sad
[127.8200 - 133.9455],Ses01F_impro02_F013,sad
[139.0300 - 146.4300],Ses01F_impro02_F014,sad
[151.4221 - 155.0100],Ses01F_impro02_F015,sad
[163.5400 - 165.7300],Ses01F_impro02_F016,neu
[169.3600 - 176.0150],Ses01F_impro02_F017,sad
[176.0800 - 179.1300],Ses01F_impro02_F018,neu
[182.8300 - 185.8894],Ses01F_impro02_F019,sad
[186.5800 - 191.1100],Ses01F_impro02_F020,sad
[17.6000 - 20.6264],Ses01F_impro02_M000,xxx
[21.7600 - 27.5558],Ses01F_impro02_M001,sad
[38.8500 - 45.0900],Ses01F_impro02_M002,xxx
[52.7100 - 59.0534],Ses01F_impro02_M003,fru
[61.7500 - 65.0550],Ses01F_impro02_M004,xxx
[69.3400 - 74.2900],Ses01F_impro02_M005,sad
[80.0300 - 86.9900],Ses01F_impro02_M006,xxx
[103.2700 - 107.1000],Ses01F_impro02_M007,xxx
[110.5653 - 113.2000],Ses01F_impro02_M008,fru
[114.1775 - 117.8500],Ses01F_impro02_M009,sad
[120.4105 - 124.6300],Ses01F_impro02_M010,sad
[133.8800 - 137.1000],Ses01F_impro02_M011,sad
[147.0300 - 151.7101],Ses01F_impro02_M012,neu
[157.9800 - 162.7100],Ses01F_impro02_M013,sad
[164.8850 - 169.5000],Ses01F_impro02_M014,sad
[175.4700 - 176.7200],Ses01F_impro02_M015,neu
[195.1047 - 199.5200],Ses01F_impro02_M016,fru
[4.8800 - 7.7400],Ses01F_impro03_F000,hap
[7.9300 - 11.3700],Ses01F_impro03_F001,hap
[12.8000 - 15.3700],Ses01F_impro03_F002,hap
[15.8700 - 20.4867],Ses01F_impro03_F003,xxx
[21.7500 - 25.5200],Ses01F_impro03_F004,hap
[25.5584 - 28.1400],Ses01F_impro03_F005,hap
[28.3700 - 34.7100],Ses01F_impro03_F006,hap
[35.6349 - 40.1000],Ses01F_impro03_F007,xxx
