time,session,label
[4.1000 - 10.6800],Ses03F_impro01_F000,xxx
[10.7300 - 13.9200],Ses03F_impro01_F001,xxx
[18.2200 - 20.0750],Ses03F_impro01_F002,neu
[27.2050 - 32.4300],Ses03F_impro01_F003,fru
[32.4700 - 36.1020],Ses03F_impro01_F004,fru
[40.1000 - 43.2200],Ses03F_impro01_F005,fru
[43.2400 - 48.4375],Ses03F_impro01_F006,fru
[50.2750 - 55.0900],Ses03F_impro01_F007,fru
[55.2125 - 56.3125],Ses03F_impro01_F008,fru
[66.2600 - 72.3700],Ses03F_impro01_F009,fru
[74.3450 - 78.9025],Ses03F_impro01_F010,xxx
[80.1900 - 82.3875],Ses03F_impro01_F011,fru
[13.1700 - 14.4141],Ses03F_impro01_M000,xxx
[14.5200 - 18.7025],Ses03F_impro01_M001,neu
[20.2800 - 27.9575],Ses03F_impro01_M002,neu
[31.3775 - 32.6800],Ses03F_impro01_M003,neu
[36.7475 - 39.1200],Ses03F_impro01_M004,neu
[39.2100 - 40.8066],Ses03F_impro01_M005,neu
[49.9350 - 51.5625],Ses03F_impro01_M006,fru
[52.6325 - 54.3375],Ses03F_impro01_M007,fru
[54.9204 - 60.9700],Ses03F_impro01_M008,fru
[61.0200 - 67.6700],Ses03F_impro01_M009,fru
[71.9100 - 75.3975],Ses03F_impro01_M010,xxx
[78.2775 - 81.2325],Ses03F_impro01_M011,xxx
[7.6300 - 9.5400],Ses03F_impro02_F000,neu
[12.1900 - 13.2100],Ses03F_impro02_F001,neu
[13.8600 - 15.4425],Ses03F_impro02_F002,xxx
[16.2350 - 25.7100],Ses03F_impro02_F003,xxx
[28.8225 - 30.3400],Ses03F_impro02_F004,xxx
[31.4600 - 32.5950],Ses03F_impro02_F005,exc
[32.7525 - 44.4150],Ses03F_impro02_F006,xxx
[45.3025 - 50.7600],Ses03F_impro02_F007,exc
[51.3100 - 64.6400],Ses03F_impro02_F008,sad
[64.7600 - 74.8875],Ses03F_impro02_F009,xxx
[75.0900 - 76.9100],Ses03F_impro02_F010,sad
[77.0475 - 81.4500],Ses03F_impro02_F011,sad
[82.8900 - 83.8900],Ses03F_impro02_F012,sad
[86.3275 - 91.1400],Ses03F_impro02_F013,xxx
[93.2800 - 95.9750],Ses03F_impro02_F014,fru
[99.0150 - 100.8800],Ses03F_impro02_F015,sad
[102.3075 - 109.1800],Ses03F_impro02_F016,fru
[109.2300 - 113.5000],Ses03F_impro02_F017,fru
[118.4000 - 122.1275],Ses03F_impro02_F018,sad
[124.1475 - 128.2825],Ses03F_impro02_F019,sad
[131.1600 - 134.9500],Ses03F_impro02_F020,sad
[134.9900 - 141.6100],Ses03F_impro02_F021,sad
[147.8200 - 154.1975],Ses03F_impro02_F022,fru
[156.3250 - 158.6525],Ses03F_impro02_F023,sad
[161.2850 - 165.7450],Ses03F_impro02_F024,sad
[169.3125 - 171.2800],Ses03F_impro02_F025,sad
[171.9575 - 174.2475],Ses03F_impro02_F026,sad
[176.0350 - 181.5675],Ses03F_impro02_F027,sad
[186.6700 - 189.0050],Ses03F_impro02_F028,sad
[196.3200 - 204.9350],Ses03F_impro02_F029,sad
[209.8721 - 214.6600],Ses03F_impro02_F030,xxx
[214.7200 - 219.0550],Ses03F_impro02_F031,sad
[219.5625 - 221.0025],Ses03F_impro02_F032,sad
[231.8125 - 236.4800],Ses03F_impro02_F033,xxx
[236.6900 - 239.7400],Ses03F_impro02_F034,sad
[239.8000 - 243.3049],Ses03F_impro02_F035,sad
[255.8325 - 262.1050],Ses03F_impro02_F036,sad
[269.1575 - 276.7300],Ses03F_impro02_F037,sad
[282.3400 - 285.0700],Ses03F_impro02_F038,sad
[285.8625 - 289.3775],Ses03F_impro02_F039,sad
[293.5900 - 295.1750],Ses03F_impro02_F040,sad
[296.9750 - 303.9250],Ses03F_impro02_F041,sad
[305.5025 - 307.1600],Ses03F_impro02_F042,sad
[308.9325 - 311.2200],Ses03F_impro02_F043,sad
[10.0719 - 11.8800],Ses03F_impro02_M000,neu
[25.8175 - 33.2575],Ses03F_impro02_M001,hap
[43.9400 - 45.9400],Ses03F_impro02_M002,xxx
[50.3100 - 53.0775],Ses03F_impro02_M003,xxx
[76.0425 - 77.4100],Ses03F_impro02_M004,sur
[81.9000 - 86.2325],Ses03F_impro02_M005,sur
[89.9300 - 93.4225],Ses03F_impro02_M006,fru
[94.9800 - 98.1925],Ses03F_impro02_M007,ang
[99.5000 - 102.7700],Ses03F_impro02_M008,xxx
[111.5275 - 112.8100],Ses03F_impro02_M009,fru
[114.4600 - 119.0325],Ses03F_impro02_M010,fru
[127.8000 - 129.2625],Ses03F_impro02_M011,fru
[135.0950 - 136.4900],Ses03F_impro02_M012,fru
[141.8225 - 147.9025],Ses03F_impro02_M013,xxx
[150.7550 - 152.9000],Ses03F_impro02_M014,sad
[153.7500 - 155.8350],Ses03F_impro02_M015,fru
[158.1350 - 161.2675],Ses03F_impro02_M016,sad
[170.2300 - 171.8775],Ses03F_impro02_M017,sad
[182.2500 - 186.3400],Ses03F_impro02_M018,sad
[189.9200 - 195.4200],Ses03F_impro02_M019,sad
[204.3800 - 208.4900],Ses03F_impro02_M020,sad
[209.0850 - 211.1600],Ses03F_impro02_M021,sad
[217.9700 - 220.0175],Ses03F_impro02_M022,fru
[220.6050 - 226.6600],Ses03F_impro02_M023,xxx
[226.6950 - 229.1200],Ses03F_impro02_M024,sad
[242.0100 - 244.3100],Ses03F_impro02_M025,sad
[244.4100 - 249.0050],Ses03F_impro02_M026,xxx
[249.0675 - 255.5950],Ses03F_impro02_M027,ang
[264.3225 - 269.6400],Ses03F_impro02_M028,sad
[277.8600 - 282.6200],Ses03F_impro02_M029,sad
[289.6400 - 294.1200],Ses03F_impro02_M030,xxx
[311.3500 - 313.6200],Ses03F_impro02_M031,sad
[9.1916 - 20.3925],Ses03F_impro03_F000,xxx
[20.4220 - 23.3725],Ses03F_impro03_F001,xxx
[24.4325 - 35.9275],Ses03F_impro03_F002,xxx
[36.3650 - 52.1291],Ses03F_impro03_F003,xxx
[52.1844 - 57.3954],Ses03F_impro03_F004,exc
[57.4608 - 60.2412],Ses03F_impro03_F005,exc
[60.2739 - 67.3326],Ses03F_impro03_F006,exc
[67.4660 - 72.6274],Ses03F_impro03_F007,exc
[72.6493 - 77.9810],Ses03F_impro03_F008,exc
[78.3325 - 86.6601],Ses03F_impro03_F009,exc
[86.8517 - 91.0215],Ses03F_impro03_F010,xxx
[91.0978 - 100.3984],Ses03F_impro03_F011,exc
[102.1865 - 105.5993],Ses03F_impro03_F012,exc
[105.6538 - 109.4775],Ses03F_impro03_F013,exc
[109.6125 - 111.9900],Ses03F_impro03_F014,hap
[112.3100 - 119.3266],Ses03F_impro03_F015,hap
[119.3484 - 121.0150],Ses03F_impro03_F016,exc
[121.0600 - 122.9466],Ses03F_impro03_F017,exc
[123.0011 - 125.3344],Ses03F_impro03_F018,hap
[129.4075 - 135.3764],Ses03F_impro03_F019,hap
[138.7565 - 142.0166],Ses03F_impro03_F020,hap
[142.1038 - 147.9480],Ses03F_impro03_F021,hap
[148.1770 - 151.5025],Ses03F_impro03_F022,xxx
[153.1175 - 162.0575],Ses03F_impro03_F023,xxx
[164.6825 - 167.9625],Ses03F_impro03_F024,exc
[2.1064 - 8.9800],Ses03F_impro03_M000,exc
[10.3200 - 14.5100],Ses03F_impro03_M001,exc
[16.5675 - 19.0675],Ses03F_impro03_M002,exc
[20.0600 - 21.4825],Ses03F_impro03_M003,xxx
[22.8625 - 25.3200],Ses03F_impro03_M004,xxx
[29.9407 - 31.5653],Ses03F_impro03_M005,exc
[35.3225 - 41.0900],Ses03F_impro03_M006,exc
[45.0201 - 50.9625],Ses03F_impro03_M007,exc
[59.0500 - 61.7550],Ses03F_impro03_M008,xxx
[69.6325 - 71.1625],Ses03F_impro03_M009,sur
[77.2450 - 78.5916],Ses03F_impro03_M010,exc
[93.1200 - 95.7850],Ses03F_impro03_M011,xxx
[99.0850 - 104.2582],Ses03F_impro03_M012,xxx
[110.8983 - 112.9591],Ses03F_impro03_M013,xxx
[118.3671 - 119.8500],Ses03F_impro03_M014,xxx
[124.8600 - 129.7394],Ses03F_impro03_M015,hap
[135.1256 - 140.4356],Ses03F_impro03_M016,xxx
[146.6700 - 148.6225],Ses03F_impro03_M017,xxx
[149.6825 - 153.6100],Ses03F_impro03_M018,xxx
[154.7025 - 158.5550],Ses03F_impro03_M019,xxx
[160.1400 - 163.2000],Ses03F_impro03_M020,xxx
[163.3825 - 168.8625],Ses03F_impro03_M021,exc
[5.5614 - 11.2375],Ses03F_impro04_F000,fru
[12.2942 - 18.8317],Ses03F_impro04_F001,fru
[20.1025 - 27.2761],Ses03F_impro04_F002,sad
[27.3124 - 31.5255],Ses03F_impro04_F003,fru
[34.6673 - 36.7918],Ses03F_impro04_F004,fru
[36.8281 - 41.4952],Ses03F_impro04_F005,fru
[44.5475 - 55.3075],Ses03F_impro04_F006,fru
[61.6575 - 66.0300],Ses03F_impro04_F007,fru
[70.9323 - 80.5207],Ses03F_impro04_F008,fru
[82.0098 - 84.7519],Ses03F_impro04_F009,fru
[84.8246 - 87.5485],Ses03F_impro04_F010,fru
[89.7277 - 91.3258],Ses03F_impro04_F011,sur
[91.9450 - 96.4650],Ses03F_impro04_F012,fru
[98.0960 - 100.8415],Ses03F_impro04_F013,fru
[100.9142 - 103.4825],Ses03F_impro04_F014,fru
[103.6745 - 111.3016],Ses03F_impro04_F015,xxx
[113.4808 - 122.8694],Ses03F_impro04_F016,xxx
[124.0498 - 128.0550],Ses03F_impro04_F017,fru
[128.4808 - 134.0525],Ses03F_impro04_F018,fru
[137.7423 - 141.0575],Ses03F_impro04_F019,xxx
[141.1375 - 147.0583],Ses03F_impro04_F020,xxx
[148.5575 - 151.4167],Ses03F_impro04_F021,fru
[151.5619 - 156.9736],Ses03F_impro04_F022,sad
[160.5300 - 162.8800],Ses03F_impro04_F023,sad
[166.1100 - 167.7325],Ses03F_impro04_F024,sad
[170.3029 - 172.3368],Ses03F_impro04_F025,xxx
[173.1325 - 174.2525],Ses03F_impro04_F026,fru
[10.6961 - 13.4928],Ses03F_impro04_M000,neu
[17.8330 - 20.6114],Ses03F_impro04_M001,neu
[31.1078 - 34.9395],Ses03F_impro04_M002,neu
[39.5521 - 42.7846],Ses03F_impro04_M003,neu
[42.8209 - 45.0182],Ses03F_impro04_M004,neu
[54.8427 - 57.4032],Ses03F_impro04_M005,neu
[57.4577 - 60.2362],Ses03F_impro04_M006,neu
[60.2906 - 62.6151],Ses03F_impro04_M007,neu
[64.8850 - 71.7132],Ses03F_impro04_M008,neu
[78.0650 - 82.6675],Ses03F_impro04_M009,neu
[85.1514 - 90.4525],Ses03F_impro04_M010,neu
[90.6176 - 91.9795],Ses03F_impro04_M011,neu
[94.1587 - 100.4420],Ses03F_impro04_M012,neu
[110.4662 - 113.8985],Ses03F_impro04_M013,neu
[122.2157 - 125.1925],Ses03F_impro04_M014,neu
[133.5575 - 137.9057],Ses03F_impro04_M015,neu
[146.6588 - 149.3464],Ses03F_impro04_M016,neu
[157.3912 - 161.0958],Ses03F_impro04_M017,neu
[162.2100 - 166.6050],Ses03F_impro04_M018,neu
[167.2375 - 170.5875],Ses03F_impro04_M019,neu
[171.9191 - 173.4800],Ses03F_impro04_M020,xxx
[6.3183 - 13.3161],Ses03F_impro05_F000,fru
[20.6762 - 29.5536],Ses03F_impro05_F001,fru
[29.6894 - 33.1543],Ses03F_impro05_F002,ang
[33.1770 - 39.4875],Ses03F_impro05_F003,fru
[42.1223 - 46.3119],Ses03F_impro05_F004,fru
[50.7732 - 58.0654],Ses03F_impro05_F005,ang
[62.7079 - 73.3744],Ses03F_impro05_F006,fru
[80.3494 - 89.3854],Ses03F_impro05_F007,ang
[89.4307 - 92.5106],Ses03F_impro05_F008,ang
[96.4510 - 100.4125],Ses03F_impro05_F009,ang
[114.9079 - 116.9675],Ses03F_impro05_F010,ang
[118.9842 - 124.6750],Ses03F_impro05_F011,ang
[130.3980 - 136.1049],Ses03F_impro05_F012,fru
[136.1728 - 140.4530],Ses03F_impro05_F013,fru
[143.5300 - 148.5604],Ses03F_impro05_F014,xxx
[148.7189 - 151.4592],Ses03F_impro05_F015,ang
[151.8850 - 157.2340],Ses03F_impro05_F016,ang
[158.9500 - 162.1175],Ses03F_impro05_F017,ang
[12.9085 - 20.6762],Ses03F_impro05_M000,fru
[25.5850 - 29.9500],Ses03F_impro05_M001,fru
[38.3875 - 42.4620],Ses03F_impro05_M002,fru
[45.2702 - 51.6338],Ses03F_impro05_M003,neu
[57.1142 - 63.9987],Ses03F_impro05_M004,fru
[72.8500 - 81.9573],Ses03F_impro05_M005,fru
[91.2197 - 97.6966],Ses03F_impro05_M006,fru
[99.7801 - 108.7933],Ses03F_impro05_M007,xxx
[108.8400 - 115.5872],Ses03F_impro05_M008,neu
[116.4252 - 119.6183],Ses03F_impro05_M009,neu
[124.2382 - 130.8736],Ses03F_impro05_M010,fru
[139.1622 - 143.9179],Ses03F_impro05_M011,neu
[146.5902 - 150.2650],Ses03F_impro05_M012,fru
[154.3000 - 158.5275],Ses03F_impro05_M013,neu
[158.6154 - 160.7215],Ses03F_impro05_M014,neu
[8.3440 - 12.1707],Ses03F_impro06_F000,sad
[13.5951 - 16.7102],Ses03F_impro06_F001,sad
[19.1355 - 23.5856],Ses03F_impro06_F002,sad
