time,session,label
[3.6132 - 6.1700],Ses05F_impro01_F000,neu
[14.1500 - 19.4900],Ses05F_impro01_F001,fru
[22.8500 - 26.9000],Ses05F_impro01_F002,fru
[29.9800 - 34.4600],Ses05F_impro01_F003,fru
[39.4800 - 42.1800],Ses05F_impro01_F004,fru
[42.8400 - 45.7800],Ses05F_impro01_F005,fru
[46.8200 - 53.7400],Ses05F_impro01_F006,fru
[58.2800 - 65.3300],Ses05F_impro01_F007,fru
[65.3400 - 69.5800],Ses05F_impro01_F008,neu
[74.0600 - 76.6800],Ses05F_impro01_F009,fru
[86.8900 - 88.5000],Ses05F_impro01_F010,fru
[88.5200 - 91.5428],Ses05F_impro01_F011,fru
[96.2500 - 101.6000],Ses05F_impro01_F012,fru
[117.8600 - 128.7300],Ses05F_impro01_F013,fru
[130.3000 - 134.7700],Ses05F_impro01_F014,fru
[135.3800 - 136.7300],Ses05F_impro01_F015,fru
[136.7600 - 140.5500],Ses05F_impro01_F016,fru
[144.6800 - 150.7000],Ses05F_impro01_F017,ang
[150.9500 - 152.5100],Ses05F_impro01_F018,ang
[154.9600 - 159.5500],Ses05F_impro01_F019,fru
[160.0100 - 164.8200],Ses05F_impro01_F020,ang
[167.2500 - 169.3800],Ses05F_impro01_F021,fru
[171.7100 - 174.1300],Ses05F_impro01_F022,fru
[179.5200 - 181.6059],Ses05F_impro01_F023,fru
[5.7800 - 14.7800],Ses05F_impro01_M000,neu
[17.6400 - 24.1600],Ses05F_impro01_M001,xxx
[26.6500 - 31.4800],Ses05F_impro01_M002,xxx
[34.1100 - 40.8800],Ses05F_impro01_M003,neu
[41.1100 - 44.3900],Ses05F_impro01_M004,fru
[44.4200 - 48.1600],Ses05F_impro01_M005,fru
[52.1100 - 59.0900],Ses05F_impro01_M006,fru
[67.6900 - 69.3400],Ses05F_impro01_M007,fru
[69.3700 - 74.3600],Ses05F_impro01_M008,fru
[76.1600 - 87.3000],Ses05F_impro01_M009,fru
[87.6000 - 89.6000],Ses05F_impro01_M010,fru
[91.3100 - 99.8800],Ses05F_impro01_M011,fru
[100.5200 - 110.6000],Ses05F_impro01_M012,fru
[111.0800 - 118.4700],Ses05F_impro01_M013,fru
[127.9700 - 131.1100],Ses05F_impro01_M014,fru
[132.1100 - 135.5000],Ses05F_impro01_M015,fru
[135.5400 - 140.0000],Ses05F_impro01_M016,xxx
[140.1500 - 145.8800],Ses05F_impro01_M017,fru
[149.4200 - 151.6900],Ses05F_impro01_M018,fru
[151.7151 - 157.7300],Ses05F_impro01_M019,fru
[158.4300 - 161.2200],Ses05F_impro01_M020,fru
[163.3500 - 167.6700],Ses05F_impro01_M021,fru
[168.5900 - 170.8100],Ses05F_impro01_M022,xxx
[173.5200 - 179.8400],Ses05F_impro01_M023,fru
[181.2400 - 184.6200],Ses05F_impro01_M024,xxx
[5.1700 - 7.6605],Ses05F_impro02_F000,xxx
[12.3000 - 14.4800],Ses05F_impro02_F001,sad
[19.0000 - 24.6600],Ses05F_impro02_F002,sad
[24.7000 - 28.4600],Ses05F_impro02_F003,xxx
[28.8000 - 31.1014],Ses05F_impro02_F004,sad
[33.6400 - 37.1300],Ses05F_impro02_F005,sad
[40.9200 - 42.2900],Ses05F_impro02_F006,fea
[44.4900 - 47.6500],Ses05F_impro02_F007,xxx
[51.7400 - 54.4200],Ses05F_impro02_F008,sad
[61.5700 - 65.7300],Ses05F_impro02_F009,sad
[68.8300 - 79.7900],Ses05F_impro02_F010,sad
[83.0500 - 85.3000],Ses05F_impro02_F011,sad
[88.3300 - 93.3000],Ses05F_impro02_F012,sad
[97.7400 - 103.8500],Ses05F_impro02_F013,fru
[106.6800 - 109.9800],Ses05F_impro02_F014,fru
[117.3600 - 121.0200],Ses05F_impro02_F015,xxx
[125.2100 - 130.2600],Ses05F_impro02_F016,xxx
[133.5800 - 138.1400],Ses05F_impro02_F017,fru
[140.6200 - 144.2000],Ses05F_impro02_F018,fru
[145.0128 - 148.8000],Ses05F_impro02_F019,xxx
[156.4300 - 158.2300],Ses05F_impro02_F020,fru
[164.2500 - 167.3900],Ses05F_impro02_F021,sad
[169.1700 - 182.0200],Ses05F_impro02_F022,xxx
[183.0200 - 188.9000],Ses05F_impro02_F023,sad
[199.5600 - 202.7800],Ses05F_impro02_F024,sad
[205.9800 - 213.1700],Ses05F_impro02_F025,fru
[223.6300 - 233.5000],Ses05F_impro02_F026,fru
[238.6500 - 240.4100],Ses05F_impro02_F027,sad
[246.3500 - 248.2000],Ses05F_impro02_F028,sad
[252.2100 - 262.6900],Ses05F_impro02_F029,sad
[265.5084 - 269.0981],Ses05F_impro02_F030,xxx
[285.7900 - 289.1700],Ses05F_impro02_F031,sad
[291.0500 - 294.9200],Ses05F_impro02_F032,sad
[298.0200 - 301.2800],Ses05F_impro02_F033,xxx
[307.5400 - 310.2100],Ses05F_impro02_F034,sad
[311.9000 - 316.1000],Ses05F_impro02_F035,sad
[318.9700 - 320.7100],Ses05F_impro02_F036,sad
[328.2000 - 329.4000],Ses05F_impro02_F037,sad
[335.2658 - 343.4000],Ses05F_impro02_F038,sad
[7.6018 - 10.4300],Ses05F_impro02_M000,neu
[15.5400 - 18.2200],Ses05F_impro02_M001,xxx
[23.2800 - 24.8100],Ses05F_impro02_M002,xxx
[31.5600 - 33.2600],Ses05F_impro02_M003,xxx
